title,content
3DS_version,"Inventory interface in the 3DS version
The3DS versionofTerrariawas published by505 Gamesand developed byCodeglue. It is a port of CodeGlue'sMobile version. This version contains exclusive content not available on other versions, includingenemies,armor,weapons,pets, andbosses, but some exclusive content is also available on theOld-gen console versionandWindows Phone version.
The 3DS version is unlike the other console versions, not only because of its exclusive entities, but also because it follows its own update line. A list of all the updates it has had, as well as a few highlights of each one, can be found at3DS version history.
It can be played on theNew Nintendo 3DSfamily of systems with a higher frame rate, an expanded world option, and the ability to move the camera around using the C Stick, similar to the effect ofBinoculars.
The 3DS version's most recent update is equal toPC1.2.1, with some content from1.2.2to1.3.1. It will not receive any significant updates past this 1.2.1 equivalent.[1]
Purchasing the 3DS version:
With the exception of theZapinator, all of the following content is also available on theWindows Phone(the content was removed from the currentMobile versionin the1.3 update). Some of the content is available on theOld-gen console versionas well.
The Nintendo3DSversion ofTerrariais largely equivalent toPC version1.2.1. However, some content from future versions has been added into the game, mostly from1.2.2to1.3.1. Below is a list of said content."
3DS_version_history,"This page lists update details for the various3DS versionsofTerraria.
[1][2]
Listed as fixed:
[3][4]
[5][6]
[6][7][8][9]
[10]"
Accessories,"Most accessories must be placed in their accessory equip slots, seen at the bottom right of the image, for their effects to apply.
Accessories (aka equipable items)are equipable items that can providestatboosts and/or special abilities such as limited flight. Accessories must be placed in a character's equip accessory slots to work, with the exception of someinformational accessorieswhich work simply by being in a character's inventory.
InJourneyand Normal mode worlds it is possible to benefit from five accessories simultaneously (given there are no override effects - for example, it is not possible to wear more than one pair ofwingsat the same time). InExpert Modea sixth slot is obtainable by consuming aDemon Heart. Ultimately,Master Modeincludes a sixth slot by default which, when combined with a Demon Heart, provides seven slots. Neither the Demon Heart slot nor the Master Mode slot is functional in Normal mode worlds, and both will only function when the difficulty is set to the corresponding level in Journey Mode worlds.
No duplicate accessories may be equipped, but theTinkerer's Workshopcan combine many accessories together into new accessories with multiple effects. For example,Hermes Boots(or another similar accessory) andRocket Bootscan be crafted intoSpectre Boots.
Each accessory slot also has a respectivevanityslot (as well as adyeslot) which allows a character to equip twice the amount of accessories for cosmetic or storage purposes. Accessories can be set to be invisible on the wearer but still provide their buffs. Additionally, with the 1.4.4 Labor of Love update, characters can have 3 different loadouts, each with their own unique Accessory & Vanity Accessory slots, increasing the total amount of accessories one could store to 36.
MostShields, a type of accessory, can synergize with theBrand of the Infernoto block attacks, granting the slowStriking Momentbuff.
Accessories like theMaster Ninja Gearcombine abilities from other accessories too (TheBlack Belt, theTabi, and theTiger Climbing Gearin this situation).
Most accessories (and weapons) can havemodifiersaffecting the user's (or weapons') statistics. Most eligible items will get a modifier upon creation, but an item can also gain one later, or have its modifier changed: ""Reforging"" is a service provided by theGoblin Tinkererat sometimes-considerable cost. Modifiers provide bonuses that are broadly useful, such as movement speed or increased defense, for as long as the item is equipped (this is also required for someinformational accessorieswhose special effects work without being equipped). Accessories can only get bonuses from modifiers, never penalties. Accessory modifiers can provide from 1 to 4 points of defense, 20 points of mana capacity, or from 1%-4% bonus on any of several stats: Damage (for any attack), critical strike chance (any attack except summons), movement speed, or melee speed.  In all cases, the bonus applies only when the item is worn in a non-vanity accessory slot.  Modifier bonuses stack freely, all worn items will accumulate.  Thus by reforging all 5 /6/7allowed accessories to the same modifier, a player can have their choice of +100 /120/140mana capacity, +20 /24/28defense, or +20% /24%/28%on one of the affected statistics."
Aggro,"Aggro, short foraggressionoraggravation, is an invisible statistic that determines the distance at whichenemieswill begin to attack the player.Terrariafeatures various items that can alter this statistic when equipped.
All enemies target the player based on criteria set in theirAI. Most will constantly try for a target, while others may only target if the player is inwater, for example.
Currently, theStardust Guardianis the only summon able to divert an enemy's target away from the player. It overrides the player's presence, but only if it is closer than 200 pixels from said enemy. Otherwise, an enemy may target the player or the Guardian – whichever is closer. It is best to summon the Stardust Guardian closer to hordes of enemies, rather than a small few, to avoid being targeted when a few enemies disperse or die. As of1.4.0.1, the Stardust Guardian targets the closest enemy and whose actions can no longer be influenced by the player.
Armorand other items that ""increase/decrease enemy targeting"" cause enemies to consider a player to be closer or farther away than they actually are. Therefore, having a Stardust Guardian close to an enemy but also having aggro-increasingaccessoriesequipped, the player could be considered ""closer"" than the Stardust Guardian is, potentially resulting in temporarily being targeted instead of the Guardian.
If theEternia Crystalis present, theOld One's Armywill target it by default, only targeting the player or Guardian if they get ""in the way"".
The following items reduce the player's aggro statistic, meaning that enemies will have to get closer to target the player.
These items increase the player's aggro statistic, meaning that enemies can be farther from the player and still target them.
Most enemies will only attack the target they are closest to. They will determine the player's distance first, then the Stardust Guardian's (if applicable) and finally the distance to theEternia Crystal(if applicable). The distance for the player formula is
The result from that formula is then compared to the guardians formula result:
Whichever results in the higher value is targeted.
Enemies in theOld One's Armyfollow a separate formula due to having to attack the player, as well as the crystal. An enemy will first determine the distance between theEternia Crystaland it with a simple distance formula. Then, barring the chance the enemy is currently ""ghosted"", the enemy determines the ""distance"" to the player with the following formula.
Even though this formula does account for aggro, a player will be ignored if they are not within 200 pixels of the specified enemy.[1]Like with regular enemies, if the Guardian is closer to an enemy than the player is, and is within 400 pixels of it, then the Guardian is targeted instead of the player."
Ammunition,"Ammunition itemsare consumable items fired byranged weapons. To fire a weapon that requires ammunition, a compatible ammunition type must be present in the player'sinventory. The ammunition will be taken from the first stack of suitable ammunition, checked in the following order: The four dedicated ammo slots of the inventory from top to bottom, then the main inventory from the top row (hotbar) to the bottom row, going from left to right within each row.
Each type of ammunition adds itsdamage,velocity, andknockbackto the base value of the weapon that fires it. Damage bonuses also apply to the damage ofbulletsandarrows. Someweapons,armor,accessories, andbuffsoffer a chance for each shot to ""conserve"" ammo, firing a shot as usualwithoutconsuming the ammunition. If multiple such items and/or buffs are active, their respective chances to conserve ammo are combined.
Bulletsare fired fromguns.This content is transcluded fromBullets § Types.There are currently 16 different bullets available inTerraria, 11 of which areHardmode-exclusive.
Arrowsare fired frombowsandrepeaters.This content is transcluded fromArrows § Types.There are currently 18 different arrows available inTerraria, 8 of which areHardmode-exclusive.
Rocketsare fired fromlaunchers.This content is transcluded fromRockets § Types.There are currently12 /4 different rockets available inTerraria, all of which areHardmode-exclusive.
Dartsare fired from theBlowpipe,Blowgun,Dart Pistol, andDart Rifle. The Blowpipe and Blowgun can additionally fireSeeds.This content is transcluded fromDarts § Types.There are currently 4 different darts available inTerraria, 3 of which areHardmode-exclusive.
Fired from theClentaminatorandTerraformer. Spreads or removesbiomes.This content is transcluded fromSolutions § Types.
Used by aFishing Poleto catchFish.For more information, seeBait.
Wire is used to connectmechanismsto triggers and can be placed and removed using various tools. Placed wire will assume the color of theWrenchused, but will always appear asred wirewhen dropped or placed in inventory or ammo slots.SeeWirefor more information, and a complete list of available tools.
By default, every item of ammo fired will be consumed, i.e. removed from the player's inventory. There are certain items, however, that add a chance to prevent consuming the item, effectively conserving ammo occasionally. Note that you can't have an ammo conservation chance of more than 99.99%. The following items have a chance not to consume ammo:
The easiest (or the way that does not heavily depend on the weapon you are using) way to get to the ammo conservation cap is using theAmmo Box,Ammo Reservation Potion,Chlorophyte Helmet,Shroomite Breastplate, and any bow/gun/rocket launcher that has a ammo conservation chance, since none of them are below 20%.
Ammo conservation effects are treated asnon-mutually exclusive events, calculated with the following formula:[2]

For example, using aMinishark() with anAmmo Box() results in a total chance of(46.67% not to consume ammo):

The highest conservation possible is attainable by using a Phantasm with a Magic Quiver, an Ammo Box, an Ammo Reservation Potion, a Vortex Breastplate and a Chlorophyte Helmet. It amounts to 89.8%, which means that, on average, only 102 out of 1000 arrows will be consumed."
Angler,"TheAngleris anNPCconcerned exclusively withcatching fish, who appears as a young child. He does not sell anything, but rather assignsqueststo players. Quest objectives generally involve catching himrare fishfrom particularbiomesorlayers, for which he dispenses various rewards.
OnPC,Console,Mobile,Old Chinese,tModLoader, andtModLoader Legacy, he will throwFrost Daggerfishat nearby enemies when threatened, dealing 10 /15/17damage at the start of the game.
The Angler is first encountered as theSleeping Anglerrandomly spawning on the sand or on thewatersurface of theOceanbiome (or rarely in the underworld). He will move in when:
The Sleeping Angler is one of the few entities that can be detected by theLifeform Analyzeror its upgrades.
After a quest has been completed, the Angler will reward the player with one item, a number ofCoins, and possibly somebait.
Notes:
Only one of the following special rewards may be obtained. The chances listed are affected by the number of quests completed. Chances are rolled in the order given by the list below, starting from the top. This means rewards near the bottom have a slightly lowered chance of being obtained than what is listed. These chances are not affected byLuck.
If none of the rewards listed above are rewarded, one of the following will be obtained, and in no particular order. Chances are unaffected byLuck, the number of quests completed, nor by the Angler's happiness.
If bait is being rewarded, chances of getting which type are in the order listed below. The chances listed are affected by the number of quests completed. As noted above, chance of obtaining bait ranges from 50% to 100% and is based on the number of quests completed.
The minimum amount of bait obtained is determined by the number of quests completed. Once 25, 50, 100, 150, 200 and 250 quests are completed, the minimum amount is increased by 1, for a total of 7 bait. There is also a small chance of obtaining an extra bait if below 250 quests completed.
For more information, seeNPC happiness.
When submerged inShimmer, the Angler will transform into his Shimmered form. This has no impact on gameplay or dialogue and is only a visual change. He can be returned to his classic look by submerging him in Shimmer again.

TheBestiaryentry for the Angler:""The Angler, a rude fishing genius, sends others to find weird, rare fish. He rewards random items, entertained by any misfortunes.""
The Angler may have any of the following names:

When woken up:
Any time:
When a quest is available:
When a quest is completed:
When the Quest button is clicked after the daily quest has been completed:
When a quest has been completed:
WhenDryadis present when a quest has been completed:
WhenTavernkeepis present when a quest has been completed:
During aParty:
During aBlood Moon, when a quest is available:
During a Blood Moon, when a quest has been completed:
While it's raining:
During a thunderstorm:
During a windy day:
When in aGraveyard:
When nothing is affecting happiness:
When homeless:
When far from home:
When in a sparse area:
When overcrowded:
When in the Ocean:
When in the Desert:
When in anEvil Biomeor theDungeon:
When near thePrincess:
When near theDemolitionist:
When near theParty Girl:
When near theTax Collector:
When near theTavernkeep:"
Armor,"Boy, that sun is hot! I do have some perfectly ventilated armor.
—The Merchant
Armoris a set of equipabledefense itemsthat reduce damage taken fromenemiesand most other damage sources. Armor pieces are equipped by placing them in the armor slots of the player'sinventory. Armor can also be placed invanity slotsto change the player's appearance without affecting stats. Armor pieces are eithercrafted, purchased fromNPCs, or dropped from enemies.
Each piece of armor has adefensestatistic that reduces inflicted damage by half /75%/allits value, rounded up. For example, a full set ofCopper armorprovides a total of 6 defense, reducing damage by 3 /5/6points.Silver armorgrants a total of 13 defense, reducing damage by 7 /10/13points, after having been rounded up. An attack cannot normally be reduced to zero; all attacks will always deal at least 1 damage (or 2 damage for acritical hit), regardless of the quality of a player's armor. The only times an attack can do 0 damage is if the player has invincibility for whatever reason or there is another player on the same team with thePaladin's Shieldequipped and the attack does 1 damage normally.
In addition to the defense provided by individual armor pieces, most armor types provide aSet Bonuswhen all three pieces of the same armor type are worn simultaneously. For the basicpre-Hardmodeorearmors (CopperthroughPlatinum), this is an additional defense bonus. More advanced or unique armors can provide other specialized set bonuses (e.g.,  theShroomite armorwill provide invisibility when not moving).[source 1]
Over all platforms, there are 34 different armor sets obtainable in pre-Hardmode; 35 different armor sets obtainable in Hardmode; 8 robes and 2 wizard hats that give additional buffs; and 10 miscellaneous armor pieces.


Helmet:Sold byMerchantfor4/8
Pants and Shirt:Rare drops from Undead Miner








Rare drop fromRaincoat Zombie

Rare drop fromFrozen Zombie


Quest rewards fromAngler





Dropped byKing Slime












Rare drop fromHoplite



Rarely dropped byHornetsandMan Eaters




Rarely dropped byEater of Souls







Magic:2Range:4Melee:1211
Magic:1817Range:2019Melee:2826


Magic:3Range:5Melee:14
Magic:21Range:23Melee:32


Magic:3Range:6Melee:16
Magic:24Range:27Melee:37


Magic:4Range:7Melee:19
Magic:27Range:30Melee:42


Magic:4Range:8Melee:22
Magic:32Range:36Melee:50


Magic:4Range:8Melee:23
Magic:30Range:34Melee:49

Dropped byQueen Slime



Sold by theTavernkeepfor750000*75(set) after oneMechanical bosshas been defeated

Sold by theTavernkeepfor750000*75(set) after oneMechanical bosshas been defeated

Sold by theTavernkeepfor750000*75(set) after oneMechanical bosshas been defeated.

Sold by theTavernkeepfor750000*75(set) after oneMechanical bosshas been defeated.


Summon:1Magic:5Range:9Melee:24
Summon:27Magic:31Range:35Melee:50

Summon:1Magic:5Range:9Melee:24
Summon:27Magic:31Range:35Melee:50


Magic:7Range:13Melee:20Melee:25
Magic:38Range:44Melee:51Melee:56


Sold by theWitch Doctorfor150after killingPlantera.There must also be aPygmy Staffin the player's inventory.


Scale:20Shell:32
Scale:61Shell:73




Hood:06Mask:18
Hood:30Mask:42





Sold by theTavernkeepfor1500000*150(set) afterGolemhas been defeated

Sold by theTavernkeepfor1500000*150(set) afterGolemhas been defeated

Sold by theTavernkeepfor1500000*150(set) afterGolemhas been defeated

Sold by theTavernkeepfor1500000*150(set) afterGolemhas been defeated




Though not a traditional armor set, these hats and robes confer a set bonus when worn together.


Sold by theTraveling Merchantfor3.

Dropped byTim.









Sold by theTraveling Merchantfor0/2
A few pieces of armor aren't part of any particular set.




Rare drop fromSharksandOrcas.

Drop fromGranite Elementalsand sold by theCyborgfor5after defeating theMartian Madnessevent.

Rare drop fromUndead Vikings.



Sold by theTraveling Merchantfor2.

Dropped byLepus.

Found in chests on any world with theseed05162020.

Drop fromGuidenamed Andrew
While set bonuses are a strong incentive to use a matched set, there are many cases where the powers of individual pieces can be combined usefully, especially late in the game.  Particularly versatile pieces include theValhalla Knight's Breastplatefor its regeneration and theForbidden Treadsfor the extra 2 minions (though theForbidden Treadsnow provide only 1 extra minion in version 1.4, making them less ideal).  Some examples include:"
Arms_Dealer,"TheArms Dealeris anNPCthat will spawn once the following criteria have been met:
If the Arms Dealer is killed, he will only respawn if there's an available house in thetown.
When threatened byenemies, the Arms Dealer will use aFlintlock Pistolto defend himself. OnceHardmodebegins, he upgrades to aMinisharkfor self-defense. He deals 24 /36/42damage inpre-Hardmode(decreasing to 15 /22/26damage inHardmode, although he does gain an increased rate of fire to compensate).
As players progress, he will gainvarious stat increases.[1]
Below is a list of qualifying guns and bullets that can be in the player's inventory to spawn him.

For more information, seeNPC happiness.
When submerged inShimmer, the Arms Dealer will transform into his Shimmered form. This has no impact on gameplay or dialogue and is only a visual change. He can be returned to his classic look by submerging him in Shimmer again.

The Arms Dealer may have any of the following names:

WhenNurseis present:
WhenDryadis present:
WhenDemolitionistis present:
AfterSkeletronhas been defeated, but theWall of Fleshhas not,andGuideis present:
During aBlood Moon:
During aParty:
DuringRain:
During aThunderstorm:
During aWindy Day:
When in aGraveyard:
When homeless:
When neutral:
When far from home:
When in a sparse area:
When overcrowded:
When in aDesert:
When in aSnow biome:
When in anEvil biomeor theDungeon:
When near theNurse:
When near theSteampunker:
When near theGolfer:
When near theDemolitionist:
When near thePrincess:
TheBestiaryentry for the Arms Dealer:""The Arms Dealer has everything anyone could need to shoot things dead, from little round bullets to guns made from sharks."""
Attack_speed,"Attack speedinTerrariarefers to the rate at which aweaponcan attack. Despite manymodifiersand effects showing changes to attack or melee speed, attack speed is not an in-game statistic and is instead determined by its reciprocal, known asuse time. This is the amount time it takes to swing (attack with) or use an item. If use time increases, attack speed decreases, and vice versa. For example, a weapon with a use time of 30 will have a lower attack speed (slower rate of fire) than a weapon with a use time of 10. As such, any attack speed modifiers will in actuality act as a variable within theuse time equation. However, as shown below, for many melee weapons a change in attack speed (and therefore use time) will have effects other than a change in use time.
While almost all weapons can receive attack speed modifiers, such as Quick or Legendary, accessories will only ever provide bonuses to melee speed.
Melee speed bonuses affect different types ofmelee weaponsin different ways. For most endgame weapons, it does not increase DPS, as most of them fall into one of the following categories:
Melee speed only affects the actual swinging animation and not the rate at which a weapon fires projectiles, with few exceptions such as theTerra Blade. In other cases, however, the speed at which the projectile fires is the same regardless of having +10% melee speed or +200% melee speed. Melee speed does, however, affect the speed at which the projectile travels. TheTerragrim,Arkhalis, andStarlight's main attacks are considered projectiles, and do not benefit from melee attack speed boosts.
Melee speed bonuses increase the length of aYoyo's string, but not its attack rate. This can be very helpful in the early game, when yoyos are very short and hard to hit bosses with, and against bosses where you need to keep a distance (such asEmpress of Light). The exact multiplier for yoyo string length is(1+3*(melee speed))/4, where melee speed is1.0without buffs. Thus, if the player can reach 2x melee speed through buffs, the yoyo string will be 75% longer.
Similar to yoyos,Flailsdo not attack more often with melee speed boosts, but they reach further and shoot out faster, making them much better at hitting flying targets.
Despite doing summoning damage,Whipsare heavily affected by melee speed, making them one of the few endgame weapons whose DPS is directly affected by melee speed.
Spears gain additional reach from melee speed but not additional DPS. Instead, they move faster during each swing to make up for the increased travel distance.
Boomerangs gain additional range from melee speed."
Bars,"

Barsarecrafting materialsgenerally crafted from minedoresat aFurnace. Crafting most ore-related items requires that raw ores are first crafted into bars.
There are currently 23 different bar types. Obtaining most of these only requires their respective ores as crafting ingredients.Hellstone,Spectre, andShroomite Barsare exceptions that require a secondary material in addition.Hallowed Barsare not crafted but are instead dropped by themechanical bosses. Some bars may also be obtained  fromcrates."
